LULC_desc,lucode,usle_c,usle_p
Forest,1,0.001,1
EarlySuccession Forest,101,0.001,1
PoleSuccession Forest,102,0.001,1
MidSuccession Forest,103,0.001,1
LateSuccession Forest,104,0.001,1
OldGrowth Forest ,105,0.001,1
OldGrowth Forest ,106,0.001,1
ForestPlantation,2,0.001,1
EarlySuccession ForestPlantation,201,0.001,1
PoleSuccession ForestPlantation,202,0.001,1
MidSuccession ForestPlantation,203,0.001,1
LateSuccession ForestPlantation,204,0.001,1
OldGrowth ForestPlantation,205,0.001,1
OldGrowth ForestPlantation,206,0.001,1
PalmForest,3,0.001,1
EarlySuccession PalmForest,301,0.001,1
PoleSuccession PalmForest,302,0.001,1
MidSuccession PalmForest,303,0.001,1
LateSuccession PalmForest,304,0.001,1
OldGrowth PalmForest ,305,0.001,1
OldGrowth PalmForest ,306,0.001,1
Mangrove,4,0.060,1
EarlySuccession Mangrove,401,0.060,1
PoleSuccession Mangrove,402,0.060,1
MidSuccession Mangrove,403,0.060,1
LateSuccession Mangrove,404,0.060,1
OldGrowth Mangrove  ,405,0.060,1
OldGrowth Mangrove  ,406,0.060,1
ArtificialSurface,5,0.100,1
Grassland ,6,0.080,1
MoorAndHeathland,7,0.080,1
WaterBody           ,8,0.000,1
BareArea            ,9,0.350,1
NoData,10,0.000,0
ArableLand          ,11,0.500,0.5
Coffee,12,0.150,1
Pineapple,13,0.500,0.5
PermanentCropland   ,14,0.150,1
WaterBody           ,0,0.000,1
NoData,15,0.000,0
